community,res_jobs,res_low_wage,res_med_wage,res_high_wage,res_white,wrk_jobs,wrk_low_wage,wrk_med_wage,wrk_high_wage,wrk_white,res_low_wage_share,res_med_wage_share,res_high_wage_share,res_wage_index,res_white_share,res_nonwhite_share,wrk_low_wage_share,wrk_med_wage_share,wrk_high_wage_share,wrk_wage_index,wrk_white_share,wrk_nonwhite_share
ALBANY PARK,20389,4004,7222,9163,15001,5951,1273,2734,1944,4019,0.19638040119672373,0.35421060375692776,0.4494089950463485,2.253028593849625,0.7357398597282848,0.2642601402717152,0.21391362796168711,0.45941858511174594,0.32666778692656695,2.1127541589648797,0.6753486808939674,0.3246513191060326
ARCHER HEIGHTS,5132,1113,2082,1937,4289,9731,1324,3173,5234,7132,0.21687451286048323,0.40568978955572876,0.377435697583788,2.1605611847233046,0.8357365549493375,0.16426344505066248,0.1360600143870106,0.32607131846675574,0.5378686671462337,2.401808652759223,0.7329154249306341,0.2670845750693659
ARMOUR SQUARE,5879,1952,2029,1898,1824,6126,3182,1964,980,2489,0.3320292566763055,0.34512672223167207,0.3228440210920224,1.9908147644157168,0.3102568464024494,0.6897431535975507,0.5194253999347045,0.32060071825008163,0.15997388181521385,1.6405484818805092,0.40630101207966046,0.5936989879203396
ASHBURN,18392,3755,6355,8282,9258,4565,1068,1681,1816,2806,0.2041648542844715,0.34553066550674205,0.45030448020878644,2.246139625924315,0.5033710308829926,0.4966289691170074,0.2339539978094195,0.368236582694414,0.3978094194961665,2.1638554216867467,0.6146768893756845,0.38532311062431546
AUBURN GRESHAM,16530,4428,6780,5322,1917,2323,752,1049,522,882,0.2678765880217786,0.4101633393829401,0.3219600725952813,2.0540834845735025,0.11597096188747731,0.8840290381125226,0.32371932845458457,0.45157124408092986,0.22470942746448558,1.900990099009901,0.3796814464055101,0.62031855359449
AUSTIN,37932,9434,16224,12274,10929,14748,3102,5370,6276,9482,0.24870821469998947,0.42771274913002216,0.3235790361699884,2.074870821469999,0.28812084783296427,0.7118791521670358,0.21033360455655004,0.36411716842961755,0.4255492270138324,2.2152156224572823,0.6429346352047736,0.35706536479522644
AVALON PARK,3705,928,1290,1487,313,3187,1870,889,428,678,0.250472334682861,0.3481781376518219,0.4013495276653171,2.150877192982456,0.0844804318488529,0.9155195681511471,0.5867587072481958,0.2789457169752118,0.1342955757765924,1.5475368685283966,0.21273925321619078,0.7872607467838092
AVONDALE,17331,2914,5484,8933,14528,9535,1891,3766,3878,7465,0.16813801857942415,0.31642721135537477,0.5154347700652011,2.3472967514857768,0.8382666897466967,0.1617333102533033,0.19832197168327215,0.3949659150498165,0.40671211326691137,2.208390141583639,0.7829050865233351,0.21709491347666487
BELMONT CRAGIN,30049,5965,13034,11050,24947,8682,2636,3929,2117,6631,0.1985091018003927,0.4337581949482512,0.3677327032513561,2.1692236014509634,0.8302106559286498,0.16978934407135016,0.3036166781847501,0.4525454964293941,0.2438378253858558,1.9402211472011057,0.7637641096521539,0.2362358903478461
BEVERLY,10885,2054,2230,6601,7163,4483,1368,2006,1109,2400,0.18870004593477263,0.2048690858980248,0.6064308681672026,2.4177308222324303,0.6580615525953146,0.3419384474046854,0.3051527994646442,0.44746821325005576,0.24737898728530003,1.9422261878206557,0.5353557885344635,0.46464421146553647
