community,id,far_southeast,employment_core
ALBANY PARK,1,0,0
ARCHER HEIGHTS,2,0,0
ARMOUR SQUARE,3,0,0
ASHBURN,4,0,0
AUBURN GRESHAM,5,0,0
AUSTIN,6,0,0
AVALON PARK,7,1,0
AVONDALE,8,0,0
BELMONT CRAGIN,9,0,0
BEVERLY,10,0,0
BRIDGEPORT,11,0,0
BRIGHTON PARK,12,0,0
BURNSIDE,13,1,0
CALUMET HEIGHTS,14,1,0
CHATHAM,15,1,0
CHICAGO LAWN,16,0,0
CLEARING,17,0,0
DOUGLAS,18,0,0
DUNNING,19,0,0
EAST GARFIELD PARK,20,0,0
EAST SIDE,21,1,0
EDGEWATER,22,0,0
EDISON PARK,23,0,0
ENGLEWOOD,24,0,0
FOREST GLEN,25,0,0
FULLER PARK,26,0,0
GAGE PARK,27,0,0
GARFIELD RIDGE,28,0,0
GRAND BOULEVARD,29,0,0
GREATER GRAND CROSSING,30,0,0
HEGEWISCH,31,1,0
HERMOSA,32,0,0
HUMBOLDT PARK,33,0,0
HYDE PARK,34,0,0
IRVING PARK,35,0,0
JEFFERSON PARK,36,0,0
KENWOOD,37,0,0
LAKE VIEW,38,0,0
LINCOLN PARK,39,0,0
LINCOLN SQUARE,40,0,0
LOGAN SQUARE,41,0,0
LOOP,42,0,1
LOWER WEST SIDE,43,0,0
MCKINLEY PARK,44,0,0
MONTCLARE,45,0,0
MORGAN PARK,46,0,0
MOUNT GREENWOOD,47,0,0
NEAR NORTH SIDE,48,0,1
NEAR SOUTH SIDE,49,0,0
NEAR WEST SIDE,50,0,1
NEW CITY,51,0,0
NORTH CENTER,52,0,0
NORTH LAWNDALE,53,0,0
NORTH PARK,54,0,0
NORWOOD PARK,55,0,0
OAKLAND,56,0,0
OHARE,57,0,0
PORTAGE PARK,58,0,0
PULLMAN,59,1,0
RIVERDALE,60,1,0
ROGERS PARK,61,0,0
ROSELAND,62,1,0
SOUTH CHICAGO,63,1,0
SOUTH DEERING,64,1,0
SOUTH LAWNDALE,65,0,0
SOUTH SHORE,66,0,0
UPTOWN,67,0,0
WASHINGTON HEIGHTS,68,0,0
WASHINGTON PARK,69,0,0
WEST ELSDON,70,0,0
WEST ENGLEWOOD,71,0,0
WEST GARFIELD PARK,72,0,0
WEST LAWN,73,0,0
WEST PULLMAN,74,1,0
WEST RIDGE,75,0,0
WEST TOWN,76,0,0
WOODLAWN,77,0,0
